2.56.176.32:8443#CZ [234.7ms 6.39Mbps]
91.92.136.69:443#BG [234.95ms 8.02Mbps]
94.156.35.128:2053#BG [235.2ms 5.84Mbps]
107.161.174.99:443#TR [235.58ms 0.36Mbps]
195.49.215.254:8443#KZ [235.84ms 6.46Mbps]
31.57.190.14:443#ES [235.91ms 5.21Mbps]
156.38.157.171:2053#ZA [235.99ms 0.43Mbps]
38.180.113.22:443#TR [236.32ms 0.82Mbps]
192.71.27.237:443#IL [236.63ms 5.38Mbps]
132.243.205.75:8443#IT [237.1ms 3.63Mbps]
170.64.229.30:443#AU [237.38ms 0.61Mbps]
83.97.77.35:2053#KZ [237.42ms 5.94Mbps]
38.180.109.174:443#HU [237.73ms 3.57Mbps]
209.38.82.114:443#AU [237.81ms 2.9Mbps]
170.64.232.210:443#AU [238.04ms 0.88Mbps]
54.229.164.147:2053#IE [238.05ms 4.14Mbps]
141.98.115.64:8443#TR [238.39ms 1.77Mbps]
185.203.119.221:2053#BG [238.44ms 3.76Mbps]
43.229.148.110:443#TH [238.68ms 6.25Mbps]
141.98.115.65:8443#TR [239.0ms 1.44Mbps]
91.219.237.49:443#HU [239.0ms 0.42Mbps]
63.32.194.15:8443#IE [239.15ms 4.33Mbps]
52.19.138.237:2053#IE [239.3ms 4.27Mbps]
54.229.164.147:8443#IE [239.42ms 1.02Mbps]
43.229.148.43:443#TH [239.58ms 6.02Mbps]
2.56.176.32:443#CZ [239.75ms 6.3Mbps]
52.19.138.237:8443#IE [239.92ms 1.79Mbps]
192.9.175.224:443#AU [240.3ms 0.0Mbps]
34.240.243.226:443#IE [241.34ms 0.33Mbps]
185.223.82.195:443#ES [241.63ms 3.65Mbps]
34.250.168.254:443#IE [241.92ms 0.7Mbps]
31.57.190.67:443#ES [241.93ms 0.26Mbps]
45.150.195.165:443#ES [242.33ms 0.61Mbps]
195.16.74.73:443#TR [242.44ms 5.77Mbps]
92.61.71.49:443#CZ [242.46ms 5.36Mbps]
45.12.131.34:8443#PT [242.63ms 7.63Mbps]
45.150.195.226:443#ES [242.88ms 5.19Mbps]
185.239.48.207:443#IL [243.79ms 5.99Mbps]
171.22.127.164:443#CZ [243.85ms 6.6Mbps]
194.135.34.198:443#TR [243.87ms 5.02Mbps]
185.239.48.252:443#IL [243.96ms 6.89Mbps]
5.35.103.185:8443#SK [244.62ms 0.34Mbps]
198.55.103.38:2087#IE [244.62ms 0.0Mbps]
45.91.134.91:2053#TH [244.69ms 5.89Mbps]
85.137.164.56:443#CZ [245.04ms 0.22Mbps]
80.178.58.56:443#IL [245.33ms 6.87Mbps]
176.97.66.175:443#AE [246.78ms 0.58Mbps]
194.87.240.67:443#BE [246.85ms 3.75Mbps]
141.98.233.190:8443#BE [248.81ms 3.53Mbps]
89.203.250.101:443#CZ [249.57ms 6.2Mbps]
131.196.253.141:443#MX [249.94ms 5.21Mbps]
87.121.38.57:443#RS [250.04ms 6.5Mbps]
89.46.70.46:443#IT [250.37ms 1.93Mbps]
185.138.89.29:8443#PT [250.95ms 5.06Mbps]
147.78.0.186:8443#AE [251.02ms 6.41Mbps]
147.78.0.186:2053#AE [251.62ms 5.34Mbps]
195.144.24.34:443#MK [252.06ms 6.16Mbps]
156.38.157.171:8443#ZA [252.48ms 6.16Mbps]
188.190.26.243:443#BE [253.26ms 3.03Mbps]
113.30.151.151:2053#IT [253.34ms 5.55Mbps]
85.90.196.38:443#RO [253.42ms 1.55Mbps]
38.79.154.92:443#RO [253.94ms 0.3Mbps]
91.225.218.230:443#IL [254.76ms 0.35Mbps]
130.94.116.44:443#EC [255.32ms 5.77Mbps]
194.87.73.58:8443#BE [255.46ms 1.43Mbps]
